service_name,country_code,availability_type,title_count,unique_titles
ARROW,CA,subscription,8,8
ARROW,GB,subscription,29,29
ARROW,US,subscription,11,11
Arrow Video Amazon Channel,GB,subscription,20,19
Arte,DE,free,14,14
Arte,DE,ads,1,1
Arte,ES,free,1,1
Arte,FR,free,13,13
Arte,GB,free,1,1
Arte,IT,free,1,1
Arte Amazon Channel,BR,subscription,8,7
Arthaus+,DE,subscription,61,57
Arthaus+ Apple TV channel,DE,subscription,61,56
Arthouse CNMA Amazon Channel,AT,subscription,8,8
Arthouse CNMA Amazon Channel,DE,subscription,33,33
ArthouseCNMA,DE,subscription,22,22
Artiflix,AR,free,3,3
Artiflix,AT,free,3,3
Artiflix,AU,free,20,20
Artiflix,BE,free,3,3
Artiflix,BR,free,20,20
Artiflix,CA,free,20,20
Artiflix,CH,free,3,3
Artiflix,CL,free,3,3
Artiflix,CO,free,3,3
Artiflix,DE,free,20,20
Artiflix,DK,free,3,3
Artiflix,ES,free,20,20
Artiflix,FI,free,3,3
Artiflix,FR,free,20,20
Artiflix,GB,free,20,20
Artiflix,IE,free,3,3
Artiflix,IN,free,3,3
Artiflix,IT,free,20,20
Artiflix,JP,free,20,20
Artiflix,KR,free,20,20
Artiflix,MX,free,20,20
Artiflix,NL,free,3,3
Artiflix,NO,free,3,3
Artiflix,NZ,free,3,3
Artiflix,PL,free,3,3
Artiflix,PT,free,3,3
Artiflix,SE,free,3,3
Artiflix,SG,free,3,3
Artiflix,TH,free,3,3
Artiflix,US,free,20,20
Asia Premium Amazon Channel ,JP,subscription,57,32
Asian Drama Channel Amazon Channel,JP,subscription,12,7
AsianCrush,CA,subscription,7,7
AsianCrush,CA,ads,7,7
AsianCrush,US,ads,11,11
AsianCrush,US,subscription,10,10
ASIATIC Amazon Channel,DE,subscription,1,1
Aspire TV Amazon Channel,US,subscription,1,1
Atres Player,ES,subscription,240,155
Atres Player,ES,ads,79,46
Atresplayer Amazon Channel,MX,subscription,42,24
AVA HBZ,DE,free,4,4
AVA VOBB,DE,free,4,4
AXN Black Amazon Channel,AT,subscription,9,9
AXN Black Amazon Channel,DE,subscription,42,30
Baeble Amazon Channel,GB,subscription,1,1
Baeble Amazon Channel,US,subscription,1,1
BATTLEZONE Amazon Channel,AT,subscription,6,6
BATTLEZONE Amazon Channel,DE,subscription,25,25
BBC America,US,subscription,11,9
BBC Earth Amazon Channel,CA,subscription,2,1
BBC iPlayer,GB,free,446,291
BBC iPlayer,GB,subscription,16,9
BBC Kids Amazon Channel,IN,subscription,4,4
BBC Player Amazon Channel,DE,subscription,64,35
BBC Player Amazon Channel,IN,subscription,42,42
BBC Select Apple Tv channel,CA,subscription,6,3
BBC Select Apple Tv channel,US,subscription,8,4
Be TV Go,BE,subscription,36,36
Beamafilm,AU,free,92,92
Beamafilm,AU,subscription,61,61
Beamafilm,NZ,free,3,3
Beamafilm,NZ,subscription,3,3
Belas Artes à La Carte,BR,subscription,34,33
Benshi Amazon Channel,FR,subscription,10,7
Best of British Tv Amazon Channel,GB,subscription,1,1
Best tv ever Amazon Channel,US,subscription,28,15
Best Westerns Ever Amazon Channel,GB,subscription,2,2
Best Westerns Ever Amazon Channel,US,subscription,10,8
BET+  Apple TV channel,US,subscription,30,18
Bet+ Amazon Channel,US,subscription,30,18
BFI Player,GB,subscription,70,70
BFI Player,GB,free,7,7
BFI Player Amazon Channel,FI,subscription,2,2
BFI Player Amazon Channel,GB,subscription,61,61
BFI Player Amazon Channel,SE,subscription,2,2
BFI Player Amazon Channel,US,subscription,15,15
BFI Player Apple TV Channel,GB,subscription,61,61
BINGE,AU,subscription,621,621
Bloodstream,BR,subscription,1,1
Bloodstream,CA,ads,3,3
Bloodstream,CA,subscription,1,1
Bloodstream,GB,ads,1,1
Bloodstream,US,subscription,21,21
Bloodstream,US,ads,18,18
Bloody Movies Amazon Channel,DE,subscription,46,46
Bloody Movies Amazon Channel,PL,subscription,6,6
